Day,Month,Year,Alarm Time,Total Time Until Fully Awake
2,1,2022,8:00,120
3,1,2022,9:15,150
4,2,2022,10:30,100
5,3,2022,9:15,60
6,3,2022,10:30,30
7,4,2022,8:00,15
8,5,2022,9:15,90
9,5,2022,8:45,60
10,6,2022,8:00,30
11,7,2022,8:45,15
12,7,2022,8:45,45
13,8,2022,8:00,20
14,8,2022,8:00,35
15,8,2022,8:00,40
16,9,2022,8:00,5
17,9,2022,8:45,10
18,10,2022,8:45,15
19,10,2022,8:45,25
20,10,2022,8:45,45
21,11,2022,9:15,30
4,12,2022,9:15,45
5,12,2022,8:00,60
6,12,2022,8:00,10
7,12,2022,8:00,20
8,12,2022,9:15,60
9,12,2022,8:45,50
10,12,2022,8:45,80
11,12,2022,8:45,15
12,12,2022,8:00,5
13,12,2022,9:15,50
14,12,2022,8:00,15
15,12,2022,10:20,20
16,12,2022,10:20,30
17,12,2022,10:20,5
